dataset,donor,date,session,trial,partner,recipient,payoff_condition,partner_present,hormone,right.left,response
1,404,03-22-2016,1,1,N,,Pre-test,Partner absent,NA,L,1
1,404,03-22-2016,1,2,N,,Pre-test,Partner absent,NA,L,1
1,404,03-22-2016,1,3,N,,Pre-test,Partner absent,NA,R,1
1,404,03-22-2016,1,4,N,,Pre-test,Partner absent,NA,R,1
1,404,03-22-2016,1,5,N,,Side bias,Partner absent,NA,R,1
1,404,03-22-2016,1,6,N,,Side bias,Partner absent,NA,R,1
1,404,03-22-2016,1,7,N,,Side bias,Partner absent,NA,L,0
1,404,03-22-2016,1,8,N,,Side bias,Partner absent,NA,L,0
1,404,03-22-2016,1,9,N,,Prosocial,Partner absent,NA,R,1
1,404,03-22-2016,1,10,N,,Altruistic,Partner absent,NA,,NA
1,404,03-22-2016,1,11,N,,Prosocial,Partner absent,NA,R,1
1,404,03-22-2016,1,12,N,,Altruistic,Partner absent,NA,R,1
1,404,03-22-2016,1,13,N,,Prosocial,Partner absent,NA,R,1
1,404,03-22-2016,1,14,N,,Prosocial,Partner absent,NA,L,0
1,404,03-22-2016,1,15,N,,Altruistic,Partner absent,NA,L,0
1,404,03-22-2016,1,16,N,,Altruistic,Partner absent,NA,R,1
1,404,03-30-2016,2,1,L,791,Pre-test,Partner present,NA,L,1
1,404,03-30-2016,2,2,L,791,Pre-test,Partner present,NA,L,1
1,404,03-30-2016,2,3,L,791,Pre-test,Partner present,NA,R,1
1,404,03-30-2016,2,4,L,791,Pre-test,Partner present,NA,R,1
1,404,03-30-2016,2,5,L,791,Side bias,Partner present,NA,L,0
1,404,03-30-2016,2,6,L,791,Side bias,Partner present,NA,L,0
1,404,03-30-2016,2,7,L,791,Side bias,Partner present,NA,R,1
1,404,03-30-2016,2,8,L,791,Side bias,Partner present,NA,R,1
1,404,03-30-2016,2,9,L,791,Prosocial,Partner present,NA,R,0
1,404,03-30-2016,2,10,L,791,Altruistic,Partner present,NA,L,1
1,404,03-30-2016,2,11,L,791,Altruistic,Partner present,NA,L,1
1,404,03-30-2016,2,12,L,791,Prosocial,Partner present,NA,L,1
1,404,03-30-2016,2,13,L,791,Altruistic,Partner present,NA,L,1
1,404,03-30-2016,2,14,L,791,Prosocial,Partner present,NA,R,0
1,404,03-30-2016,2,15,L,791,Altruistic,Partner present,NA,R,0
1,404,03-30-2016,2,16,L,791,Prosocial,Partner present,NA,R,0
1,404,03-31-2016,3,1,N,,Pre-test,Partner absent,NA,L,1
1,404,03-31-2016,3,2,N,,Pre-test,Partner absent,NA,L,1
1,404,03-31-2016,3,3,N,,Pre-test,Partner absent,NA,R,1
1,404,03-31-2016,3,4,N,,Pre-test,Partner absent,NA,R,1
1,404,03-31-2016,3,5,N,,Side bias,Partner absent,NA,R,1
1,404,03-31-2016,3,6,N,,Side bias,Partner absent,NA,L,0
1,404,03-31-2016,3,7,N,,Side bias,Partner absent,NA,L,0
1,404,03-31-2016,3,8,N,,Side bias,Partner absent,NA,L,0
1,404,03-31-2016,3,9,N,,Prosocial,Partner absent,NA,R,1
1,404,03-31-2016,3,10,N,,Altruistic,Partner absent,NA,,NA
1,404,03-31-2016,3,11,N,,Prosocial,Partner absent,NA,R,1
1,404,03-31-2016,3,12,N,,Altruistic,Partner absent,NA,,NA
1,404,03-31-2016,3,13,N,,Prosocial,Partner absent,NA,R,1
1,404,03-31-2016,3,14,N,,Prosocial,Partner absent,NA,R,1
1,404,03-31-2016,3,15,N,,Altruistic,Partner absent,NA,,NA
1,404,03-31-2016,3,16,N,,Altruistic,Partner absent,NA,,NA
1,404,04-07-2016,4,1,N,,Pre-test,Partner absent,NA,L,1
1,404,04-07-2016,4,2,N,,Pre-test,Partner absent,NA,L,1
1,404,04-07-2016,4,3,N,,Pre-test,Partner absent,NA,R,1
1,404,04-07-2016,4,4,N,,Pre-test,Partner absent,NA,R,1
1,404,04-07-2016,4,5,N,,Side bias,Partner absent,NA,L,0
1,404,04-07-2016,4,6,N,,Side bias,Partner absent,NA,L,0
1,404,04-07-2016,4,7,N,,Side bias,Partner absent,NA,L,0
1,404,04-07-2016,4,8,N,,Side bias,Partner absent,NA,L,0
1,404,04-07-2016,4,9,N,,Prosocial,Partner absent,NA,R,1
1,404,04-07-2016,4,10,N,,Altruistic,Partner absent,NA,L,0
1,404,04-07-2016,4,11,N,,Prosocial,Partner absent,NA,R,1
1,404,04-07-2016,4,12,N,,Altruistic,Partner absent,NA,R,1
1,404,04-07-2016,4,13,N,,Prosocial,Partner absent,NA,R,1
1,404,04-07-2016,4,14,N,,Prosocial,Partner absent,NA,L,0
1,404,04-07-2016,4,15,N,,Altruistic,Partner absent,NA,L,0
1,404,04-07-2016,4,16,N,,Altruistic,Partner absent,NA,L,0
1,404,05-02-2016,5,1,N,,Pre-test,Partner absent,NA,L,1
1,404,05-02-2016,5,2,N,,Pre-test,Partner absent,NA,L,0
1,404,05-02-2016,5,3,N,,Pre-test,Partner absent,NA,R,1
1,404,05-02-2016,5,4,N,,Pre-test,Partner absent,NA,L,1
1,404,05-02-2016,5,5,N,,Side bias,Partner absent,NA,L,0
1,404,05-02-2016,5,6,N,,Side bias,Partner absent,NA,L,0
