"location","participant","stimulus_set","model","error_rate","frequentist_fit","bayesian_fit","log10_bayes_factor"
"MPI",1,"1","Noisy-I",0.1,0,0,-188.63
"MPI",1,"1","Noisy-I",0.25,0,0,-111.87
"MPI",1,"1","Noisy-I",0.5,0,0,-54.42
"MPI",1,"1","Noisy-LO",0.1,1,1,5.48
"MPI",1,"1","Noisy-LO",0.25,1,1,3.56
"MPI",1,"1","Noisy-LO",0.5,1,1,0.93
"MPI",1,"1","Noisy-LO-mix",0.1,1,1,0.49
"MPI",1,"1","Noisy-LO-mix",0.25,1,1,0.54
"MPI",1,"1","Noisy-LO-mix",0.5,1,1,0.08
"MPI",1,"1","Noisy-P",0.1,1,1,7.56
"MPI",1,"1","Noisy-P",0.25,1,1,5.64
"MPI",1,"1","Noisy-P",0.5,1,1,3
"MPI",1,"1","Noisy-PI",0.1,1,1,7.26
"MPI",1,"1","Noisy-PI",0.25,1,1,5.34
"MPI",1,"1","Noisy-PI",0.5,1,1,2.7
"MPI",1,"1","Noisy-PI-mix",0.1,1,1,5.81
"MPI",1,"1","Noisy-PI-mix",0.25,1,1,4.16
"MPI",1,"1","Noisy-PI-mix",0.5,1,1,1.66
"MPI",1,"1","Random-LO",NA,1,1,0.33
"MPI",1,"1","Random-LOT",NA,0,0,-3.16
"MPI",1,"2","Noisy-I",0.1,0,0,-187.24
"MPI",1,"2","Noisy-I",0.25,0,0,-110.95
"MPI",1,"2","Noisy-I",0.5,0,0,-53.95
"MPI",1,"2","Noisy-LO",0.1,1,0,4.84
"MPI",1,"2","Noisy-LO",0.25,1,1,3.33
"MPI",1,"2","Noisy-LO",0.5,1,1,0.91
"MPI",1,"2","Noisy-LO-mix",0.1,1,1,-0.27
"MPI",1,"2","Noisy-LO-mix",0.25,1,1,-0.09
"MPI",1,"2","Noisy-LO-mix",0.5,1,1,-0.14
"MPI",1,"2","Noisy-P",0.1,1,0,6.92
"MPI",1,"2","Noisy-P",0.25,1,1,5.41
"MPI",1,"2","Noisy-P",0.5,1,1,2.99
