subject,species,long_delay,trial1,trial2,trial3,trial4,trial5,trial6,mean
3,1,0,1,1,1,1,1,1,1
4,1,0,0,1,0,0,0,0,0.1666666667
5,1,0,0,1,1,1,1,1,0.8333333333
6,1,0,1,1,1,0,1,1,0.8333333333
7,1,0,1,1,1,1,1,1,1
8,1,0,1,1,1,1,1,1,1
9,1,0,1,1,1,0,0,1,0.6666666667
21,1,0,1,1,1,0,0,0,0.5
23,1,0,1,1,1,1,1,1,1
25,1,0,1,1,1,1,1,1,1
26,1,0,1,1,1,1,1,1,1
30,1,0,1,1,0,0,0,1,0.5
34,1,0,0,0,0,0,0,0,0
35,1,0,1,1,1,1,1,1,1
36,1,0,1,0,0,0,0,0,0.1666666667
37,1,0,1,1,1,1,1,1,1
44,1,0,1,1,1,1,1,1,1
47,1,0,1,1,1,1,1,1,1
48,1,0,1,1,1,1,1,1,1
51,1,0,1,0,1,1,1,1,0.8333333333
12,1,120,1,1,0,0,0,0,0.3333333333
13,1,120,0,0,0,0,0,0,0
14,1,120,1,0,0,0,0,1,0.3333333333
15,1,120,1,1,1,0,0,0,0.5
17,1,120,1,1,0,1,0,1,0.6666666667
18,1,120,0,0,0,0,0,0,0
20,1,120,0,0,0,0,0,0,0
22,1,120,0,0,0,1,0,0,0.1666666667
24,1,120,0,0,1,0,0,0,0.1666666667
27,1,120,0,0,0,0,0,0,0
28,1,120,0,0,0,0,0,1,0.1666666667
29,1,120,1,0,0,1,0,0,0.3333333333
32,1,120,0,0,0,0,0,0,0
39,1,120,0,0,0,0,0,1,0.1666666667
40,1,120,0,0,0,1,0,0,0.1666666667
43,1,120,0,0,0,0,0,0,0
46,1,120,0,0,1,0,0,0,0.1666666667
50,1,120,0,0,0,1,0,0,0.1666666667
52,1,120,0,0,0,0,0,0,0
54,1,120,1,1,0,0,1,0,0.5
Annett,2,0,1,1,1,1,1,1,1
Dorien,2,0,1,1,1,1,1,1,1
Fifi,2,0,1,1,1,1,1,1,1
Frodo,2,0,0,1,1,1,1,1,0.8333333333
Lome,2,0,1,1,1,1,0,1,0.8333333333
Natascha,2,0,0,1,1,1,0,1,0.6666666667
Patrick,2,0,1,1,1,1,1,1,1
Sandra,2,0,1,1,1,1,1,1,1
Swela,2,0,1,0,1,0,1,1,0.6666666667
Alex,2,120,0,1,1,1,1,1,0.8333333333
Alexandra,2,120,1,1,0,1,1,0,0.6666666667
Corrie,2,120,0,1,1,1,1,1,0.8333333333
Fraukje,2,120,0,0,1,1,1,0,0.5
Jahaga,2,120,1,1,1,1,1,0,0.8333333333
Pia,2,120,1,1,0,1,0,0,0.5
Riet,2,120,1,1,1,1,1,1,1
Robert,2,120,0,0,1,1,1,0,0.5
Trudi,2,120,1,1,1,1,1,1,1
Unyoro,2,120,0,1,1,0,0,1,0.5
