subject,question,order_presented,choice_LL,small_amount,short_delay,large_amount,long_delay,k
1,10,7,1,22,0,70,20,0.109
1,9,2,1,15,0,50,45,0.0518
1,8,3,1,24,0,63,50,0.0325
1,7,6,1,27,0,69,90,0.0173
1,6,9,1,17,0,52,220,0.0094
1,5,10,1,33,0,60,110,0.0074
1,4,8,0,31,0,59,150,0.006
1,3,5,0,35,0,55,100,0.0057
1,2,4,1,29,0,59,275,0.0038
1,1,1,0,34,0,51,195,0.0026
2,10,10,1,22,0,70,20,0.109
2,9,9,1,15,0,50,45,0.0518
2,8,2,1,24,0,63,50,0.0325
2,7,8,1,27,0,69,90,0.0173
2,6,6,1,17,0,52,220,0.0094
2,5,4,1,33,0,60,110,0.0074
2,4,3,1,31,0,59,150,0.006
2,3,1,1,35,0,55,100,0.0057
2,2,5,1,29,0,59,275,0.0038
2,1,7,1,34,0,51,195,0.0026
3,10,6,1,22,0,70,20,0.109
3,9,2,0,15,0,50,45,0.0518
3,8,10,1,24,0,63,50,0.0325
3,7,7,0,27,0,69,90,0.0173
3,6,3,0,17,0,52,220,0.0094
3,5,4,0,33,0,60,110,0.0074
3,4,9,0,31,0,59,150,0.006
3,3,5,0,35,0,55,100,0.0057
3,2,1,0,29,0,59,275,0.0038
3,1,8,0,34,0,51,195,0.0026
4,10,5,1,22,0,70,20,0.109
4,9,4,1,15,0,50,45,0.0518
4,8,3,1,24,0,63,50,0.0325
4,7,8,1,27,0,69,90,0.0173
4,6,7,1,17,0,52,220,0.0094
4,5,6,1,33,0,60,110,0.0074
4,4,9,1,31,0,59,150,0.006
4,3,10,0,35,0,55,100,0.0057
4,2,7,0,29,0,59,275,0.0038
4,1,1,0,34,0,51,195,0.0026
5,10,10,1,22,0,70,20,0.109
5,9,3,1,15,0,50,45,0.0518
5,8,8,1,24,0,63,50,0.0325
5,7,5,1,27,0,69,90,0.0173
5,6,2,1,17,0,52,220,0.0094
5,5,7,1,33,0,60,110,0.0074
5,4,1,1,31,0,59,150,0.006
5,3,9,1,35,0,55,100,0.0057
5,2,6,1,29,0,59,275,0.0038
5,1,4,1,34,0,51,195,0.0026
6,10,5,1,22,0,70,20,0.109
6,9,2,1,15,0,50,45,0.0518
6,8,3,1,24,0,63,50,0.0325
6,7,1,1,27,0,69,90,0.0173
6,6,7,1,17,0,52,220,0.0094
6,5,4,1,33,0,60,110,0.0074
6,4,6,1,31,0,59,150,0.006
6,3,8,0,35,0,55,100,0.0057
6,2,10,1,29,0,59,275,0.0038
6,1,9,1,34,0,51,195,0.0026
7,10,7,1,22,0,70,20,0.109
7,9,9,1,15,0,50,45,0.0518
7,8,4,1,24,0,63,50,0.0325
7,7,6,1,27,0,69,90,0.0173
7,6,1,0,17,0,52,220,0.0094
7,5,2,0,33,0,60,110,0.0074
7,4,10,0,31,0,59,150,0.006
7,3,3,0,35,0,55,100,0.0057
7,2,5,0,29,0,59,275,0.0038
7,1,8,0,34,0,51,195,0.0026
8,10,10,1,22,0,70,20,0.109
8,9,2,1,15,0,50,45,0.0518
8,8,1,1,24,0,63,50,0.0325
8,7,5,1,27,0,69,90,0.0173
8,6,7,0,17,0,52,220,0.0094
8,5,3,0,33,0,60,110,0.0074
8,4,4,0,31,0,59,150,0.006
8,3,9,1,35,0,55,100,0.0057
8,2,6,0,29,0,59,275,0.0038
8,1,8,1,34,0,51,195,0.0026
9,10,5,1,22,0,70,20,0.109
9,9,3,1,15,0,50,45,0.0518
9,8,1,1,24,0,63,50,0.0325
9,7,4,0,27,0,69,90,0.0173
9,6,9,0,17,0,52,220,0.0094
9,5,6,0,33,0,60,110,0.0074
9,4,7,0,31,0,59,150,0.006
9,3,2,0,35,0,55,100,0.0057
9,2,8,0,29,0,59,275,0.0038
9,1,10,0,34,0,51,195,0.0026
10,10,6,1,22,0,70,20,0.109
10,9,7,1,15,0,50,45,0.0518
10,8,4,1,24,0,63,50,0.0325
10,7,10,1,27,0,69,90,0.0173
10,6,1,1,17,0,52,220,0.0094
10,5,2,1,33,0,60,110,0.0074
10,4,5,1,31,0,59,150,0.006
10,3,9,1,35,0,55,100,0.0057
10,2,8,1,29,0,59,275,0.0038
10,1,3,1,34,0,51,195,0.0026
11,10,4,1,22,0,70,20,0.109
11,9,1,1,15,0,50,45,0.0518
11,8,2,1,24,0,63,50,0.0325
11,7,3,0,27,0,69,90,0.0173
11,6,9,0,17,0,52,220,0.0094
11,5,7,0,33,0,60,110,0.0074
11,4,8,0,31,0,59,150,0.006
11,3,6,0,35,0,55,100,0.0057
11,2,10,1,29,0,59,275,0.0038
11,1,5,0,34,0,51,195,0.0026
12,10,4,1,22,0,70,20,0.109
12,9,8,1,15,0,50,45,0.0518
12,8,9,1,24,0,63,50,0.0325
12,7,3,1,27,0,69,90,0.0173
12,6,5,1,17,0,52,220,0.0094
12,5,2,1,33,0,60,110,0.0074
12,4,6,1,31,0,59,150,0.006
12,3,7,1,35,0,55,100,0.0057
