measure,lambda,psi,memory_error_type,skew,interactions,mean,sd
Cooperation,1.0,0.0,Perfect,No skew,100,0.97800387,0.117488949797194
Cooperation,1.0,0.0,Perfect,Low skew,100,0.98685831,0.0887009037573534
Cooperation,1.0,0.0,Perfect,High skew,100,0.98262122,0.111852477230387
Cooperation,1.0,0.1,Skipping,No skew,100,0.97160265,0.150015133401691
Cooperation,1.0,0.1,Skipping,Low skew,100,0.97556224,0.129219475122496
Cooperation,1.0,0.1,Skipping,High skew,100,0.97059534,0.146460751232321
Cooperation,1.0,0.1,Guessing,No skew,100,0.6689403,0.270467595784189
Cooperation,1.0,0.1,Guessing,Low skew,100,0.68659131,0.279198248159904
Cooperation,1.0,0.1,Guessing,High skew,100,0.71971617,0.303463712018658
Cooperation,1.0,0.25,Skipping,No skew,100,0.93763392,0.222371548113611
Cooperation,1.0,0.25,Skipping,Low skew,100,0.93690379,0.226644358408795
Cooperation,1.0,0.25,Skipping,High skew,100,0.95464284,0.187795594222932
Cooperation,1.0,0.25,Guessing,No skew,100,0.1517051,0.252610912170749
Cooperation,1.0,0.25,Guessing,Low skew,100,0.18256052,0.277037224545933
Cooperation,1.0,0.25,Guessing,High skew,100,0.29006901,0.358282764219068
Cooperation,0.25,0.5,Skipping,No skew,100,0,0
Cooperation,0.25,0.5,Skipping,Low skew,100,0.00050433,0.0159483149235272
Cooperation,0.25,0.5,Skipping,High skew,100,0.001504,0.0274352171367266
Cooperation,0.25,0.5,Guessing,No skew,100,0.00063511,0.0141977242247151
Cooperation,0.25,0.5,Guessing,Low skew,100,0.00061778,0.0138077663176302
Cooperation,0.25,0.5,Guessing,High skew,100,0.00092189,0.0168148471182914
Cooperation,0.4,0.25,Skipping,No skew,100,0.02198665,0.134245347869869
Cooperation,0.4,0.25,Skipping,Low skew,100,0.07098411,0.250917587413639
Cooperation,0.4,0.25,Skipping,High skew,100,0.5511998,0.489391265172139
Cooperation,0.4,0.25,Guessing,No skew,100,0.00141067,0.0229657155416817
Cooperation,0.4,0.25,Guessing,Low skew,100,0.00121466,0.0191796436101773
Cooperation,0.4,0.25,Guessing,High skew,100,0.000583,0.0130306328546465
Cooperation,0.6,0.25,Skipping,No skew,100,0.48214348,0.490200611667069
Cooperation,0.6,0.25,Skipping,Low skew,100,0.60041091,0.479144139313746
Cooperation,0.6,0.25,Skipping,High skew,100,0.85347675,0.340468080066078
Cooperation,0.6,0.25,Guessing,No skew,100,0.00447157,0.0406810305435
Cooperation,0.6,0.25,Guessing,Low skew,100,0.00176811,0.0227700403571396
Cooperation,0.6,0.25,Guessing,High skew,100,0.00532799,0.0405990061005963
Cooperation,0.87,0.22,Skipping,No skew,100,0.92353798,0.250517217031382
Cooperation,0.87,0.22,Skipping,Low skew,100,0.91900757,0.262263945155112
Cooperation,0.87,0.22,Skipping,High skew,100,0.95697808,0.184260451401988
Cooperation,0.87,0.22,Guessing,No skew,100,0.07145135,0.180952495204123
