data_file,algorithm,sample_size,train_test,subject,accuracy,precision,recall,order
amount_1,c5.0,15,testing,1-10,0.93,0.9708333333333333,0.909047619047619,Random
amount_1,c5.0,15,testing,1-11,0.91,0.9598765432098766,0.9313888888888889,Random
amount_1,c5.0,15,testing,1-13,0.86,0.932936507936508,0.8720238095238095,Random
amount_1,c5.0,15,testing,1-14,0.89,0.9566666666666667,0.9053571428571427,Random
amount_1,c5.0,15,testing,1-15,0.87,0.8779761904761904,0.9157142857142857,Random
amount_1,c5.0,15,testing,1-16,0.87,0.9217813051146384,0.9173809523809524,Random
amount_1,c5.0,15,testing,1-18,0.85,0.8809523809523809,0.8895238095238094,Random
amount_1,c5.0,15,testing,1-19,0.9,0.9134920634920635,0.9532142857142857,Random
amount_1,c5.0,15,testing,1-20,0.78,0.7996428571428571,0.8661904761904761,Random
amount_1,c5.0,15,testing,1-21,0.72,0.816468253968254,0.8133333333333334,Random
amount_1,c5.0,15,testing,1-22,0.87,0.8904761904761904,0.9264285714285714,Random
amount_1,c5.0,15,testing,1-23,0.89,0.9777777777777779,0.8680952380952381,Random
amount_1,c5.0,15,testing,1-24,0.8200000000000001,0.9577777777777778,0.7857142857142857,Random
amount_1,c5.0,15,testing,1-25,0.86,0.9357142857142857,0.7797619047619047,Random
amount_1,c5.0,15,testing,1-26,0.95,0.98,0.925,Random
amount_1,c5.0,15,testing,1-29,0.87,0.8571428571428571,0.9232142857142857,Random
amount_1,c5.0,15,testing,1-30,0.89,0.9092261904761905,0.9427777777777778,Random
amount_1,c5.0,15,testing,1-31,0.86,0.9304761904761905,0.8642857142857141,Random
amount_1,c5.0,15,testing,1-32,0.93,0.9434920634920635,0.9475,Random
amount_1,c5.0,15,testing,1-37,0.88,0.8823809523809523,0.924047619047619,Random
amount_1,c5.0,15,testing,1-38,0.88,0.9578924162257495,0.8821428571428571,Random
amount_1,c5.0,15,testing,1-40,0.83,0.9174107142857142,0.8605952380952381,Random
amount_1,c5.0,15,testing,1-41,0.99,1,0.9833333333333333,Random
amount_1,c5.0,15,testing,1-42,0.92,0.9121428571428571,0.9633333333333333,Random
amount_1,c5.0,15,testing,1-44,0.91,0.9339285714285714,0.944047619047619,Random
amount_1,c5.0,15,testing,1-45,0.8300000000000001,0.9232142857142857,0.7931349206349206,Random
amount_1,c5.0,15,testing,1-46,0.91,0.9103571428571428,0.9466666666666667,Random
amount_1,c5.0,15,testing,1-47,0.92,0.9348765432098766,0.9571428571428571,Random
