data_file,algorithm,subject,predictor,importance
amount_1,rpart,1-10,difference,66.43735769641144
amount_1,rpart,1-10,discrim,100
amount_1,rpart,1-10,log_ratio,100
amount_1,rpart,1-10,logistic,66.43735769641144
amount_1,rpart,1-10,ratio,100
amount_1,rpart,1-10,small,0
amount_1,rpart,1-10,large,0
amount_1,c5.0,1-10,ratio,100
amount_1,c5.0,1-10,difference,89.35571309424519
amount_1,c5.0,1-10,small,0
amount_1,c5.0,1-10,large,0
amount_1,c5.0,1-10,log_ratio,0
amount_1,c5.0,1-10,discrim,0
amount_1,c5.0,1-10,logistic,0
amount_1,naive_bayes,1-10,small,0
amount_1,naive_bayes,1-10,large,39.06542056074765
amount_1,naive_bayes,1-10,difference,97.19626168224299
amount_1,naive_bayes,1-10,ratio,100
amount_1,naive_bayes,1-10,log_ratio,100
amount_1,naive_bayes,1-10,discrim,100
amount_1,naive_bayes,1-10,logistic,97.19626168224299
amount_1,knn,1-10,small,0
amount_1,knn,1-10,large,39.06542056074765
amount_1,knn,1-10,difference,97.19626168224299
amount_1,knn,1-10,ratio,100
amount_1,knn,1-10,log_ratio,100
amount_1,knn,1-10,discrim,100
amount_1,knn,1-10,logistic,97.19626168224299
amount_1,rf,1-10,small,0
amount_1,rf,1-10,large,17.41093190855213
amount_1,rf,1-10,difference,74.33248545578867
amount_1,rf,1-10,ratio,95.35681404132252
amount_1,rf,1-10,log_ratio,98.0398192084628
amount_1,rf,1-10,discrim,100
amount_1,rf,1-10,logistic,64.50794525353392
amount_1,glm,1-10,small,0
amount_1,glm,1-10,large,22.27107391581019
amount_1,glm,1-10,ratio,77.91226724231987
amount_1,glm,1-10,log_ratio,100
amount_1,glm,1-10,discrim,31.618512793352398
amount_1,glm,1-10,logistic,58.26563217620338
amount_1,nnet,1-10,small,4.7243724480757106
amount_1,nnet,1-10,large,6.039011874146731
amount_1,nnet,1-10,difference,11.297740289045153
amount_1,nnet,1-10,ratio,48.06396585990617
amount_1,nnet,1-10,log_ratio,59.96038993714855
amount_1,nnet,1-10,discrim,100
amount_1,nnet,1-10,logistic,0
amount_1,rpart,1-11,difference,57.46238810142561
amount_1,rpart,1-11,discrim,100
amount_1,rpart,1-11,log_ratio,100
amount_1,rpart,1-11,logistic,57.46238810142561
amount_1,rpart,1-11,ratio,100
amount_1,rpart,1-11,small,0
amount_1,rpart,1-11,large,0
amount_1,c5.0,1-11,small,100
amount_1,c5.0,1-11,difference,100
amount_1,c5.0,1-11,ratio,100
amount_1,c5.0,1-11,logistic,100
amount_1,c5.0,1-11,log_ratio,40
amount_1,c5.0,1-11,large,0
amount_1,c5.0,1-11,discrim,0
amount_1,naive_bayes,1-11,small,1.8575851393188816
amount_1,naive_bayes,1-11,large,0
amount_1,naive_bayes,1-11,difference,84.52012383900927
amount_1,naive_bayes,1-11,ratio,100
amount_1,naive_bayes,1-11,log_ratio,100
amount_1,naive_bayes,1-11,discrim,100
amount_1,naive_bayes,1-11,logistic,84.52012383900927
amount_1,knn,1-11,small,1.8575851393188816
amount_1,knn,1-11,large,0
amount_1,knn,1-11,difference,84.52012383900927
amount_1,knn,1-11,ratio,100
amount_1,knn,1-11,log_ratio,100
amount_1,knn,1-11,discrim,100
amount_1,knn,1-11,logistic,84.52012383900927
amount_1,rf,1-11,small,16.915728426193215
amount_1,rf,1-11,large,0
amount_1,rf,1-11,difference,69.1152680686504
amount_1,rf,1-11,ratio,93.3455716753683
amount_1,rf,1-11,log_ratio,100
amount_1,rf,1-11,discrim,97.33229710492431
amount_1,rf,1-11,logistic,67.01992041210357
amount_1,glm,1-11,small,53.55171852352465
amount_1,glm,1-11,large,60.470909857154986
amount_1,glm,1-11,ratio,0
amount_1,glm,1-11,log_ratio,2.581535987567662
amount_1,glm,1-11,discrim,3.626277508917469
amount_1,glm,1-11,logistic,100
amount_1,nnet,1-11,small,75.647609674911
amount_1,nnet,1-11,large,69.46081968508773
amount_1,nnet,1-11,difference,100
amount_1,nnet,1-11,ratio,45.41032862698477
amount_1,nnet,1-11,log_ratio,0
amount_1,nnet,1-11,discrim,64.28957465442502
amount_1,nnet,1-11,logistic,25.018091437437946
amount_1,rpart,1-13,difference,55.41285840484994
amount_1,rpart,1-13,discrim,100
amount_1,rpart,1-13,log_ratio,100
amount_1,rpart,1-13,logistic,55.41285840484994
amount_1,rpart,1-13,ratio,100
amount_1,rpart,1-13,small,0
amount_1,rpart,1-13,large,0
amount_1,c5.0,1-13,ratio,100
amount_1,c5.0,1-13,logistic,100
amount_1,c5.0,1-13,small,82
amount_1,c5.0,1-13,large,0
amount_1,c5.0,1-13,difference,0
amount_1,c5.0,1-13,log_ratio,0
amount_1,c5.0,1-13,discrim,0
amount_1,naive_bayes,1-13,small,0
amount_1,naive_bayes,1-13,large,11.086474501108645
amount_1,naive_bayes,1-13,difference,84.70066518847005
amount_1,naive_bayes,1-13,ratio,100
amount_1,naive_bayes,1-13,log_ratio,100
amount_1,naive_bayes,1-13,discrim,100
amount_1,naive_bayes,1-13,logistic,84.70066518847005
amount_1,knn,1-13,small,0
amount_1,knn,1-13,large,11.086474501108645
amount_1,knn,1-13,difference,84.70066518847005
amount_1,knn,1-13,ratio,100
amount_1,knn,1-13,log_ratio,100
amount_1,knn,1-13,discrim,100
amount_1,knn,1-13,logistic,84.70066518847005
amount_1,rf,1-13,small,0
amount_1,rf,1-13,large,3.5206520329357525
amount_1,rf,1-13,difference,39.165797074080004
amount_1,rf,1-13,ratio,90.64483942328057
amount_1,rf,1-13,log_ratio,100
amount_1,rf,1-13,discrim,87.88437877745866
amount_1,rf,1-13,logistic,46.114114699000744
amount_1,glm,1-13,small,88.89092287547055
