dataset,subject,age,gender,small,large,type,similarity,response_time,difference,ratio,mean_ratio,log_ratio,relative_diff,disparity,salience,discrim,logistic
1,1-10,27,Male,3,13,Amount,0,NA,10,0.2308,0.375,-1.4663,0.7692,1.25,0.625,0.2624,0
1,1-10,27,Male,4,5,Amount,1,NA,1,0.8,0.8889,-0.2231,0.2,0.2222,0.1111,1.6094,0.2689
1,1-10,27,Male,12,16,Amount,1,NA,4,0.75,0.8571,-0.2877,0.25,0.2857,0.1429,1.3863,0.018
1,1-10,27,Male,5,14,Amount,0,NA,9,0.3571,0.5263,-1.0296,0.6429,0.9474,0.4737,0.4418,1e-4
1,1-10,27,Male,5,6,Amount,1,NA,1,0.8333,0.9091,-0.1823,0.1667,0.1818,0.0909,1.7918,0.2689
1,1-10,27,Male,6,8,Amount,1,NA,2,0.75,0.8571,-0.2877,0.25,0.2857,0.1429,1.3863,0.1192
1,1-10,27,Male,10,18,Amount,0,NA,8,0.5556,0.7143,-0.5878,0.4444,0.5714,0.2857,0.8109,3e-4
1,1-10,27,Male,10,20,Amount,0,NA,10,0.5,0.6667,-0.6931,0.5,0.6667,0.3333,0.6931,0
1,1-10,27,Male,15,19,Amount,1,NA,4,0.7895,0.8824,-0.2364,0.2105,0.2353,0.1176,1.5581,0.018
1,1-10,27,Male,9,20,Amount,0,NA,11,0.45,0.6207,-0.7985,0.55,0.7586,0.3793,0.5978,0
1,1-10,27,Male,10,11,Amount,1,NA,1,0.9091,0.9524,-0.0953,0.0909,0.0952,0.0476,2.3979,0.2689
1,1-10,27,Male,7,11,Amount,1,NA,4,0.6364,0.7778,-0.452,0.3636,0.4444,0.2222,1.0116,0.018
1,1-10,27,Male,14,18,Amount,1,NA,4,0.7778,0.875,-0.2513,0.2222,0.25,0.125,1.5041,0.018
1,1-10,27,Male,13,17,Amount,1,NA,4,0.7647,0.8667,-0.2683,0.2353,0.2667,0.1333,1.4469,0.018
1,1-10,27,Male,10,12,Amount,1,NA,2,0.8333,0.9091,-0.1823,0.1667,0.1818,0.0909,1.7918,0.1192
1,1-10,27,Male,6,9,Amount,1,NA,3,0.6667,0.8,-0.4055,0.3333,0.4,0.2,1.0986,0.0474
1,1-10,27,Male,3,4,Amount,1,NA,1,0.75,0.8571,-0.2877,0.25,0.2857,0.1429,1.3863,0.2689
1,1-10,27,Male,3,5,Amount,1,NA,2,0.6,0.75,-0.5108,0.4,0.5,0.25,0.9163,0.1192
1,1-10,27,Male,3,6,Amount,0,NA,3,0.5,0.6667,-0.6931,0.5,0.6667,0.3333,0.6931,0.0474
1,1-10,27,Male,3,7,Amount,0,NA,4,0.4286,0.6,-0.8473,0.5714,0.8,0.4,0.5596,0.018
1,1-10,27,Male,3,8,Amount,0,NA,5,0.375,0.5455,-0.9808,0.625,0.9091,0.4545,0.47,0.0067
1,1-10,27,Male,3,9,Amount,0,NA,6,0.3333,0.5,-1.0986,0.6667,1,0.5,0.4055,0.0025
1,1-10,27,Male,3,10,Amount,0,NA,7,0.3,0.4615,-1.204,0.7,1.0769,0.5385,0.3567,9e-4
1,1-10,27,Male,3,11,Amount,0,NA,8,0.2727,0.4286,-1.2993,0.7273,1.1429,0.5714,0.3185,3e-4
1,1-10,27,Male,3,12,Amount,0,NA,9,0.25,0.4,-1.3863,0.75,1.2,0.6,0.2877,1e-4
1,1-10,27,Male,17,30,Delay,0,NA,13,0.5667,0.7234,-0.568,0.4333,0.5532,0.2766,0.8362,0
1,1-10,27,Male,15,31,Delay,0,NA,16,0.4839,0.6522,-0.7259,0.5161,0.6957,0.3478,0.6614,0
1,1-10,27,Male,22,53,Delay,0,NA,31,0.4151,0.5867,-0.8792,0.5849,0.8267,0.4133,0.5363,0
1,1-10,27,Male,17,18,Delay,1,NA,1,0.9444,0.9714,-0.0572,0.0556,0.0571,0.0286,2.8904,0.2689
1,1-10,27,Male,12,28,Delay,0,NA,16,0.4286,0.6,-0.8473,0.5714,0.8,0.4,0.5596,0
1,1-10,27,Male,18,40,Delay,0,NA,22,0.45,0.6207,-0.7985,0.55,0.7586,0.3793,0.5978,0
